ingredients,allergies
ขนมปังฟอคาเซีย,แป้งสาลี
เชดดาร์ชีส,นม
มัฟฟินอังกฤษ,"แป้งสาลี,นม"
ขนมปังพานินี่,แป้งสาลี
ขนมปังซาวโดวจ์,แป้งสาลี
ดาร์กช็อกโกแลต,ถั่วเหลือง
แฮมรมควัน,ถั่วเหลือง
ครัวซองต์,"แป้งสาลี,นม,ไข่"
น้ำพริกกะปิ,"ปลา,ถั่วเหลือง"
ไอศกรีม,นม
นูเทลล่า,"ถั่วเปลือกแข็ง,นม"
เค้กช็อกโกแลต,"แป้งสาลี,ไข่,นม"
ไอศกรีม,นม
เค้กสตรอว์เบอร์รี,"แป้งสาลี,ไข่,นม"
บราวนี,"แป้งสาลี,ไข่,นม"
เวเฟอร์,แป้งสาลี
บราวนี,"แป้งสาลี,ไข่,นม"
ลาวา,"แป้งสาลี,ไข่,นม"
ช็อกโกแลตชิพ,ถั่วเปลือกแข็ง
คาราเมล,นม
คุ้กกี้,"แป้งสาลี,ไข่,นม"
มิกซ์นัท,ถั่วเปลือกแข็ง
ช็อกโกแลตฟัดจ์,"แป้งสาลี,นม"
น้ำพริก,ถั่วเหลือง
ไอศกรีมวานิลลา,นม
ครัวซองต์,"แป้งสาลี,นม,ไข่"
บิสคอตติ,"แป้งสาลี,ไข่,นม"
ปลากระพง,ปลา
ซอสซีอิ๊ว,ถั่วเหลือง
ซอสหมูแดง,ถั่วเหลือง
ซอสเป็ด,ถั่วเหลือง
เส้นจันทร์,แป้งสาลี
น้ำซอสผัดไท,ถั่วเหลือง
ซอสถั่วเหลือง,ถั่วเหลือง
ซอสพะโล้,ถั่วเหลือง
ข้าวซอย,"แป้งสาลี,ถั่วเหลือง"
น้ำพริกแกง,ถั่วเหลือง
แป้งสาลี,แป้งสาลี
เส้นลิงกวินี,แป้งสาลี
ชีส,นม
ลาเต้,นม
อัลมอนด์มิลค์,ถั่วเปลือกแข็ง
ไม่มีน้ำตาลแลคโตส,นม
ครีมมี่โยเกิร์ต,นม
ชานม,นม
คุกกี้โปรตีน,"แป้งสาลี,ไข่,นม"
โตเกียวบานาน่า,"แป้งสาลี,ไข่,นม"
งาดำ,งา
เม็ดมะม่วงหิมพานต์,นม
ดาร์กช็อกโกแลต,ถั่วเปลือกแข็ง
บราวนี่,นม
ไวท์ช็อกโกแลต,นม
แป้งเปี๊ยะ,แป้งสาลี
โปรตีนบราวนี่,"แป้งสาลี,ไข่,นม"
แพนนาคอตต้า,นม
บราวนี่,"แป้งสาลี,ไข่,นม"
มอลต์,"ถั่วเหลือง,แป้งสาลี"
ไมโล,นม
ช็อกโกแลตมอลต์,"นม,ถั่วเหลือง"
คุกกี้แซนด์วิช,"แป้งสาลี,ไข่,นม"
ปั้นขลิบ,"แป้งสาลี,ไข่"
โฮลวีต,แป้งสาลี
ซาวครีม,นม
ครัวซอง,"แป้งสาลี,ไข่,นม"
อกไก่กรอบ,แป้งสาลี
ถั่ว,ถั่วเปลือกแข็ง
นมพิสตาชิโอ,ถั่วเปลือกแข็ง
ดับเบิ้ลช็อกโกแลต,"แป้งสาลี,ไข่,นม"
นมวอลนัท,ถั่วเปลือกแข็ง
นมอัลมอนด์,ถั่วเปลือกแข็ง
โปรตีนจากพืช,ถั่วเหลือง
ซีส,นม
โอริโอ,"แป้งสาลี,ไข่,นม"
น้ำซุปโชยุ,ถั่วเหลือง
เส้นราเมน,แป้งสาลี
น้ำซุปทงคตสึ,ถั่วเหลือง
ซอสงา,งา
น้ำซุปเผ็ด,ถั่วเหลือง
น้ำซุปต้มยำ,ถั่วเหลือง
น้ำซุปมิโซะ,ถั่วเหลือง
น้ำซุปมิโซะเผ็ด,ถั่วเหลือง
เส้นราเมน,แป้งสาลี
ซอสจิ้ม,ถั่วเหลือง
น้ำซุปราเมน,ถั่วเหลือง
น้ำซุปเต้าหู้,ถั่วเหลือง
น้ำซุปหม่าล่าทงคตสึ,ถั่วเหลือง
น้ำซุปหม่าล่า,ถั่วเหลือง
แกงกะหรี่,ถั่วเหลือง
ปลาไหล,ปลา
มิโสะ,ถั่วเหลือง
ไส้เมนไทโกะชีส,"นม,ปลา"
แป้งโมจิ,แป้งสาลี
น้ำซุปทสึเคเมน,ถั่วเหลือง
ปลานิลหมักเครื่องเทศ,ปลา
หมูในซอสหมึก,ถั่วเหลือง
ปลาตากแห้ง,ปลา
หมูทอดกรอบ,แป้งสาลี
ปลาหมึกตากแห้ง,ปลา
บะหมี่,แป้งสาลี
แป้งห่อ,แป้งสาลี
ครีม,นม
ไอศกรีมมันม่วง,นม
กล้วยทอด,แป้งสาลี
ปลาหมึกแห้ง,ปลา
ซอสเทอริยากิ,ถั่วเหลือง
ซอสหมัก,ถั่วเหลือง
เบค่อน,ถั่วเหลือง
ซอสสไปซี่มาโย,"ไข่,นม,ถั่วเหลือง"
ซอสครีมมะนาว,"ไข่,นม"
ซอสเกรวี่,นม
ผงชีส,นม
แซลมอน,ปลา
ปลากะพง,ปลา
ครีมกระเทียม,นม
ซอสครีมเลมอน,นม
ไส้กรอกอิตาเลี่ยน,ถั่วเหลือง
ขนมปังอบกรอบ,แป้งสาลี
พาสต้า,แป้งสาลี
ครีมเลม่อน,"นม, ไข่"
ซอสโบลองเนส,ถั่วเหลือง
ซอสทรัฟเฟิลอัลเฟรโด้,นม
เมนไทโกะ,ปลา
หอยเชลล์ญี่ปุ่น,หอย
ครีมทรัฟเฟิลอัลเฟรโด้,นม
แป้งโดนัท,"แป้งสาลี, ไข่, นม"
ซอสเพสโต้มิโซะ,ถั่วเหลือง
ซอสไทย,ถั่วเหลือง
ซอสซูวี,ถั่วเหลือง
ซอสยากินิกุ,ถั่วเหลือง
ชีสดิป,นม
นาโชส์,แป้งสาลี
พอนสึ,ถั่วเหลือง
โอ๊ตมิลค์,ถั่วเปลือกแข็ง
น้ำราด,แป้งสาลี
เส้นหมี่,แป้งสาลี
น้ำจิ้มไก่,ถั่วเหลือง
ปลากะพง,ปลา
ซอสไข่เค็ม,ไข่
ปลาช่อน,ปลา
หอยนิวซีแลนด์,หอย
โรตี,แป้งสาลี
กรรเชียงปู,ปู
ต้มยำน้ำข้น,"นม,ถั่วเหลือง,ปลา"
ปลาย่าง,ปลา
ปูนิ่ม,ปู
หมี่กระเฉด,แป้งสาลี
แมคคาดาเมีย,ถั่วเปลือกแข็ง
พริกแกงเขียวหวาน,ถั่วเหลือง
ต้มยำ,ถั่วเหลือง
มิโซะ,ถั่วเหลือง
ขนมปังอบ,"แป้งสาลี,ไข่,นม"
ปลา,ปลา
แป้งเครป,"แป้งสาลี,ไข่,นม"
ช็อคโกแลต,นม
มาชเมโล่ว,ไข่
เวเฟอร์,"แป้งสาลี,นม"
ช็อคโกแลตลาวา,"แป้งสาลี,ไข่,นม"
ไวท์ช็อคโกแลต,นม
เอแคลร์,"แป้งสาลี,ไข่,นม"
เค้กช็อคโกแลต,"แป้งสาลี,ไข่,นม"
บิสกิต,"แป้งสาลี,ไข่,นม"
คุกกี้แอนด์ครีม,"แป้งสาลี,ไข่,นม"
กานาช,นม
มาสคาร์โปเน่,นม
พานาคอตต้า,นม
มิลค์ช็อคโกแลต,นม
ไวท์ช็อคโกแลต,นม
ซอฟต์ครีม,นม
ฮาเซลนัท,ถั่วเปลือกแข็ง
พิทาชิโอ,ถั่วเปลือกแข็ง
ครัวซองค์,"แป้งสาลี,ไข่,นม"
ไข่มุก,แป้งสาลี
คัสตาร์ด,"ไข่,นม"
แป้งโดนัท,"แป้งสาลี,ไข่,นม"
เลมอนเคิร์ด,"ไข่,นม"
ฝอยทอง,ไข่
มาร์ชแมลโลว์,ไข่
โอรีโอ,"แป้งสาลี,ไข่,นม"
คิทแคท,"แป้งสาลี,นม"
ผงไมโล,นม
ผงโอวัลติน,นม
แยมช็อคโกแลต,นม
แป้งโตเกียว,"แป้งสาลี,ไข่"
ไข่นกกระทา,ไข่
ช็อคโกแลตดูไบ,นม
แป้งชูว์,"แป้งสาลี,ไข่,นม"
ครีมมัทฉะ,นม
ครีมเลมอน,นม
ครีมคาราเมล,"ไข่,นม"
ครีมช็อคโกแลตร้อน,นม
ครีมไข่เค็ม,"ไข่,นม"
ชีสฝรั่งเศส,นม
เนยฝรั่งเศส,นม
ครีมสตรอว์เบอร์รี่,นม
แป้งบริออช,"แป้งสาลี,ไข่,นม"
เนยบริททานี,นม
แป้งซาวโดวจ์,แป้งสาลี
เนย,นม
ครีมชีสบริททานี,นม
ช็อคโกแลตเข้มข้น,นม
ช็อคโกแลตขาว,นม
ช็อคโกแลตขาว,นม
ช็อคโกแลตคาราเมล,นม
ปลาซาบะ,ปลา
กุ้งเทมปุระ,"แป้งสาลี,กุ้ง,ไข่"
หมูทงคัตสึ,"แป้งสาลี,ไข่"
หมูเกาหลี,ถั่วเหลือง
ไก่คาราเกะ,"แป้งสาลี,ไข่"
เกี๊ยว,"แป้งสาลี,ไข่"
หมึก,ปลา
ปูอัด,"ปลา,ปู"
ซาบะ,ปลา
ซูชิ,"แป้งสาลี,ไข่,ปลา"
ซอสโคชูจัง,ถั่วเหลือง
แซลมอนสด,ปลา
ซอสหม่าล่า,ถั่วเหลือง
มาม่า,"แป้งสาลี,ถั่วเหลือง"
หม่าล่า,ถั่วเหลือง
หมูยออุบล,ถั่วเหลือง
เต้าหู้ไข่,ไข่
สปาเก็ตตี้,แป้งสาลี
เส้น,แป้งสาลี
น้ำแกงส้ม,ถั่วเหลือง
เม็ดมะม่วง,ถั่วเปลือกแข็ง
กะปิ,"ถั่วเหลือง,ปลา"
วาฟเฟิล,"แป้งสาลี,ไข่,นม"
บรีชีส,นม
ชีสมอซซาเรลลา,นม
แป้งขนมปัง,แป้งสาลี
พาสต้าแผ่น,แป้งสาลี
แป้งสาลี,แป้งสาลี
เนื้อสัตว์แปรรูป,ถั่วเหลือง
ทาร์ทาร์ซอส,"ไข่,นม"
